Unit Name,LS Process Started,File in AF,Expiry Updated,Additional Insured,Coverage OK
"#1",false,true,false,true,true
"#2",false,true,false,true,true
"#3",false,true,false,true,true
"#4",false,true,false,true,true
"1541 Thompson Blvd",false,true,true,true,true
"1545 Thompson Blvd",false,true,true,true,true
"1711 Florentina Dr.",true,true,false,true,false
"2004-2006 Channel Dr",true,false,false,false,false
"2124 Avila Pl.",true,true,false,true,true
"215 Apple Ave",false,false,false,false,false
"2585 Warbler Ave #A",true,false,false,false,false
"2585 Warbler Ave.",true,false,false,false,false
"2587 Warbler Ave.",true,false,false,false,false
"31 S. Evergreen Dr.",true,true,true,true,true
"33 S. Evergreen Dr.",true,true,true,true,true
"3698 Dry Creek Ln",false,true,true,true,true
"607 Lemon Way",true,false,false,false,false
"662 College Dr.",true,false,false,false,false
"666 College Dr.",true,false,false,false,false
"733 Empire Ave.",false,true,true,true,true
"737 Empire Ave.",false,true,true,true,true
"77 Raemere St.",true,true,false,true,true
"79 Raemere St.",true,true,false,true,true
"#930 Sandpiper Ct",false,true,true,true,true
"#932 Sandpiper Ct",false,true,true,true,true
"Bundren St. - 85-99",false,true,true,true,true
"1193 E. Meta St.",true,true,false,true,true
"274 West Mission St.",true,true,false,true,true
"276 West Mission St.",true,true,false,true,true
"75 Oak St",false,true,true,true,true
"77 Oak St",false,true,true,true,true
"1829 E Ocean Ave",true,true,false,true,true
"1831 E Ocean Ave",true,true,false,true,true
"1833 E Ocean Ave",true,true,false,true,true
"1839 E Ocean Ave",true,true,false,true,true
"1853 E Ocean Ave",true,true,false,true,true
"1855 E Ocean Ave",true,true,false,true,true
"1857 E Ocean Ave",true,true,false,true,true
"895 Periwinkle Ave",true,true,false,true,true
"897 Periwinkle Ave",true,true,false,true,true
"652 Poli St",false,true,true,true,true
"656 Poli St",false,true,true,true,true
"658 Poli St",false,true,true,true,true
"932 Sand Ct .",false,true,true,true,true
"934 Sand Ct",false,true,true,true,true
"2472 Seahorse",false,true,true,true,true
"2474 Seahorse",true,true,false,true,false
"11261 Tiger Lily St",true,true,false,true,true
"11263 Tiger Lily St",true,true,false,true,true
"W Harrison Ave - 334 W Harrison Ave Ventura, CA 93001-1826",true,true,false,true,true
"Unit A",true,true,false,true,true
"W Main Street - 748 W. Main St Santa Paula, CA 93060-3130",true,true,false,true,true
"Wiens Pacific Triplex - 94 South Pacific Avenue Ventura, CA 93001",true,true,true,true,true
"One bedroom",true,true,true,true,true
"Studio",true,true,true,true,true
"127 S B St",true,false,false,false,false
